league,team_id,week_start,index_score_sum,weighted_score_sum,games
mlb,mlb_ATL,2023-08-29,4,4,6
mlb,mlb_ATL,2023-09-05,1,1,7
mlb,mlb_ATL,2023-09-12,-2,-2,6
mlb,mlb_ATL,2023-09-19,1,1,5
mlb,mlb_ATL,2023-09-26,2,2,6
mlb,mlb_ATL,2024-03-26,2,2,4
mlb,mlb_ATL,2024-04-02,1,1,5
mlb,mlb_ATL,2024-04-09,2,2,6
mlb,mlb_ATL,2024-04-16,4,4,6
mlb,mlb_ATL,2024-04-23,2,2,6
mlb,mlb_ATL,2024-04-30,-3,-3,5
mlb,mlb_ATL,2024-05-07,4,4,6
mlb,mlb_ATL,2024-05-14,-3,-3,5
mlb,mlb_ATL,2024-05-21,-1,-1,7
mlb,mlb_ATL,2024-05-28,0,0,6
mlb,mlb_ATL,2024-06-04,-2,-2,6
mlb,mlb_ATL,2024-06-11,1,1,7
mlb,mlb_ATL,2024-06-18,2,2,6
mlb,mlb_ATL,2024-06-25,1,1,5
mlb,mlb_ATL,2024-07-02,1,1,7
mlb,mlb_ATL,2024-07-09,0,0,6
mlb,mlb_ATL,2024-07-16,-1,-1,3
mlb,mlb_ATL,2024-07-23,-2,-2,6
mlb,mlb_ATL,2024-07-30,2,2,6
mlb,mlb_ATL,2024-08-06,-3,-3,7
mlb,mlb_ATL,2024-08-13,2,2,6
mlb,mlb_ATL,2024-08-20,3,3,7
mlb,mlb_ATL,2024-08-27,0,0,6
mlb,mlb_ATL,2024-09-03,1,1,7
mlb,mlb_ATL,2024-09-10,0,0,6
mlb,mlb_ATL,2024-09-17,2,2,6
mlb,mlb_ATL,2024-09-24,1,1,5
mlb,mlb_BAL,2020-07-21,1,1,3
mlb,mlb_BAL,2020-07-28,1,1,5
mlb,mlb_BAL,2020-08-04,0,0,6
mlb,mlb_BAL,2020-08-11,1,1,7
mlb,mlb_BAL,2020-08-18,-2,-2,6
mlb,mlb_BAL,2020-08-25,-4,-4,6
mlb,mlb_BAL,2020-09-01,1,1,5
mlb,mlb_BAL,2020-09-08,-2,-2,6
mlb,mlb_BAL,2020-09-15,-2,-2,6
mlb,mlb_BAL,2020-09-22,-2,-2,6
mlb,mlb_BAL,2021-03-30,2,2,4
mlb,mlb_BAL,2021-04-06,-3,-3,5
mlb,mlb_BAL,2021-04-13,-1,-1,5
mlb,mlb_BAL,2021-04-20,0,0,6
mlb,mlb_BAL,2021-04-27,1,1,7
mlb,mlb_BAL,2021-05-04,-2,-2,6
mlb,mlb_BAL,2021-05-11,-3,-3,5
mlb,mlb_BAL,2021-05-18,-7,-7,7
mlb,mlb_BAL,2021-05-25,-6,-6,6
mlb,mlb_BAL,2021-06-01,3,3,5
mlb,mlb_BAL,2021-06-08,-4,-4,6
mlb,mlb_BAL,2021-06-15,-5,-5,7
mlb,mlb_BAL,2021-06-22,-3,-3,7
mlb,mlb_BAL,2021-06-29,-1,-1,5
mlb,mlb_BAL,2021-07-06,-3,-3,5
mlb,mlb_BAL,2021-07-13,2,2,4
mlb,mlb_BAL,2021-07-20,1,1,5
mlb,mlb_BAL,2021-07-27,1,1,7
mlb,mlb_BAL,2021-08-03,-5,-5,5
mlb,mlb_BAL,2021-08-10,-7,-7,7
mlb,mlb_BAL,2021-08-17,-6,-6,6
mlb,mlb_BAL,2021-08-24,-3,-3,7
mlb,mlb_BAL,2021-08-31,0,0,6
mlb,mlb_BAL,2021-09-07,0,0,6
mlb,mlb_BAL,2021-09-14,-3,-3,7
