date,City,index_sum,games,index_sum_7d,games_7d
2022-12-02,Anaheim,0,0,-3.0,3.0
2022-12-03,Anaheim,-1,1,-4.0,4.0
2022-12-04,Anaheim,-1,1,-4.0,4.0
2022-12-05,Anaheim,0,0,-4.0,4.0
2022-12-06,Anaheim,1,1,-2.0,4.0
2022-12-07,Anaheim,0,0,-2.0,4.0
2022-12-08,Anaheim,0,0,-1.0,3.0
2022-12-09,Anaheim,-1,1,-2.0,4.0
2022-12-10,Anaheim,0,0,-1.0,3.0
2022-12-11,Anaheim,0,0,0.0,2.0
2022-12-12,Anaheim,-1,1,-1.0,3.0
2022-12-13,Anaheim,-1,1,-3.0,3.0
2022-12-14,Anaheim,0,0,-3.0,3.0
2022-12-15,Anaheim,1,1,-2.0,4.0
2022-12-16,Anaheim,0,0,-1.0,3.0
2022-12-17,Anaheim,1,1,0.0,4.0
2022-12-18,Anaheim,0,0,0.0,4.0
2022-12-19,Anaheim,0,0,1.0,3.0
2022-12-20,Anaheim,-1,1,1.0,3.0
2022-12-21,Anaheim,-1,1,0.0,4.0
2022-12-22,Anaheim,0,0,-1.0,3.0
2022-12-23,Anaheim,-1,1,-2.0,4.0
2022-12-24,Anaheim,0,0,-3.0,3.0
2022-12-25,Anaheim,0,0,-3.0,3.0
2022-12-26,Anaheim,0,0,-3.0,3.0
2022-12-27,Anaheim,0,0,-2.0,2.0
2022-12-28,Anaheim,1,1,0.0,2.0
2022-12-29,Anaheim,0,0,0.0,2.0
2022-12-30,Anaheim,-1,1,0.0,2.0
2022-12-31,Anaheim,0,0,0.0,2.0
2023-01-01,Anaheim,0,0,0.0,2.0
2023-01-02,Anaheim,-1,1,-1.0,3.0
2023-01-03,Anaheim,0,0,-1.0,3.0
2023-01-04,Anaheim,1,1,-1.0,3.0
2023-01-05,Anaheim,0,0,-1.0,3.0
2023-01-06,Anaheim,1,1,1.0,3.0
2023-01-07,Anaheim,0,0,1.0,3.0
2023-01-08,Anaheim,-1,1,0.0,4.0
2023-01-09,Anaheim,0,0,1.0,3.0
2023-01-10,Anaheim,0,0,1.0,3.0
2023-01-11,Anaheim,-1,1,-1.0,3.0
2023-01-12,Anaheim,0,0,-1.0,3.0
2023-01-13,Anaheim,-1,1,-3.0,3.0
2023-01-14,Anaheim,0,0,-3.0,3.0
2023-01-15,Anaheim,0,0,-2.0,2.0
2023-01-16,Anaheim,-1,1,-3.0,3.0
2023-01-17,Anaheim,-1,1,-4.0,4.0
2023-01-18,Anaheim,0,0,-3.0,3.0
2023-01-19,Anaheim,1,1,-2.0,4.0
2023-01-20,Anaheim,0,0,-1.0,3.0
2023-01-21,Anaheim,-1,1,-2.0,4.0
2023-01-22,Anaheim,0,0,-2.0,4.0
2023-01-23,Anaheim,0,0,-1.0,3.0
2023-01-24,Anaheim,1,1,1.0,3.0
2023-01-25,Anaheim,0,0,1.0,3.0
2023-01-26,Anaheim,1,1,1.0,3.0
2023-01-27,Anaheim,0,0,1.0,3.0
2023-01-28,Anaheim,1,1,3.0,3.0
2023-01-29,Anaheim,0,0,3.0,3.0
2023-01-30,Anaheim,0,0,3.0,3.0
2023-01-31,Anaheim,0,0,2.0,2.0
2023-02-01,Anaheim,0,0,2.0,2.0
2023-02-02,Anaheim,0,0,1.0,1.0
2023-02-03,Anaheim,0,0,1.0,1.0
2023-02-04,Anaheim,0,0,0.0,0.0
2023-02-05,Anaheim,0,0,0.0,0.0
2023-02-06,Anaheim,-1,1,-1.0,1.0
2023-02-07,Anaheim,1,1,0.0,2.0
2023-02-08,Anaheim,0,0,0.0,2.0
2023-02-09,Anaheim,0,0,0.0,2.0
2023-02-10,Anaheim,-1,1,-1.0,3.0
2023-02-11,Anaheim,0,0,-1.0,3.0
2023-02-12,Anaheim,-1,1,-2.0,4.0
2023-02-13,Anaheim,0,0,-1.0,3.0
2023-02-14,Anaheim,0,0,-2.0,2.0
2023-02-15,Anaheim,-1,1,-3.0,3.0
2023-02-16,Anaheim,0,0,-3.0,3.0
2023-02-17,Anaheim,-1,1,-3.0,3.0
2023-02-18,Anaheim,0,0,-3.0,3.0
2023-02-19,Anaheim,0,0,-2.0,2.0
2023-02-20,Anaheim,-1,1,-3.0,3.0
2023-02-21,Anaheim,-1,1,-4.0,4.0
2023-02-22,Anaheim,0,0,-3.0,3.0
2023-02-23,Anaheim,1,1,-2.0,4.0
2023-02-24,Anaheim,0,0,-1.0,3.0
2023-02-25,Anaheim,1,1,0.0,4.0
2023-02-26,Anaheim,0,0,0.0,4.0
2023-02-27,Anaheim,1,1,2.0,4.0
2023-02-28,Anaheim,0,0,3.0,3.0
2023-03-01,Anaheim,-1,1,2.0,4.0
2023-03-02,Anaheim,0,0,1.0,3.0
2023-03-03,Anaheim,1,1,2.0,4.0
2023-03-04,Anaheim,0,0,1.0,3.0
2023-03-05,Anaheim,0,0,1.0,3.0
2023-03-06,Anaheim,0,0,0.0,2.0
2023-03-07,Anaheim,-1,1,-1.0,3.0
2023-03-08,Anaheim,-1,1,-1.0,3.0
2023-03-09,Anaheim,0,0,-1.0,3.0
2023-03-10,Anaheim,1,1,-1.0,3.0
2023-03-11,Anaheim,0,0,-1.0,3.0
2023-03-12,Anaheim,-1,1,-2.0,4.0
2023-03-13,Anaheim,0,0,-2.0,4.0
