date,team,index_score,month,league,City
2018-03-04,San Jose Sharks,-1,2018-03-01,nhl,San Jose
2018-03-04,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-04,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-05,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-05,Buffalo Sabres,1,2018-03-01,nhl,Buffalo
2018-03-05,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-05,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-05,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-05,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-05,Ottawa Senators,1,2018-03-01,nhl,Ottawa
2018-03-05,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-05,Toronto Maple Leafs,-1,2018-03-01,nhl,Toronto
2018-03-05,Vancouver Canucks,1,2018-03-01,nhl,Vancouver
2018-03-06,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-06,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-06,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-06,Chicago Blackhawks,1,2018-03-01,nhl,Chicago
2018-03-06,Colorado Avalanche,-1,2018-03-01,nhl,Colorado
2018-03-06,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-06,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-06,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-06,Florida Panthers,-1,2018-03-01,nhl,Florida
2018-03-06,Minnesota Wild,1,2018-03-01,nhl,Minnesota
2018-03-06,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-06,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-06,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-06,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-06,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-06,Vegas Golden Knights,-1,2018-03-01,nhl,Vegas
2018-03-06,Washington Capitals,-1,2018-03-01,nhl,Washington
2018-03-06,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-07,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-07,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-07,Calgary Flames,1,2018-03-01,nhl,Calgary
2018-03-07,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-07,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-07,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-08,Anaheim Ducks,-1,2018-03-01,nhl,Anaheim
2018-03-08,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-08,Buffalo Sabres,1,2018-03-01,nhl,Buffalo
2018-03-08,Carolina Hurricanes,1,2018-03-01,nhl,Carolina
2018-03-08,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-08,Colorado Avalanche,-1,2018-03-01,nhl,Colorado
2018-03-08,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-08,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-08,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-08,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-08,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-08,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-08,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-08,New Jersey Devils,-1,2018-03-01,nhl,New Jersey
2018-03-08,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-08,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-08,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-08,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-08,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-08,St. Louis Blues,-1,2018-03-01,nhl,St. Louis
2018-03-08,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-08,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-08,Washington Capitals,-1,2018-03-01,nhl,Washington
2018-03-08,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-09,Anaheim Ducks,-1,2018-03-01,nhl,Anaheim
2018-03-09,Calgary Flames,1,2018-03-01,nhl,Calgary
2018-03-09,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-09,Dallas Stars,1,2018-03-01,nhl,Dallas
2018-03-09,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-09,Minnesota Wild,1,2018-03-01,nhl,Minnesota
2018-03-09,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-09,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-10,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-10,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-10,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-10,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-10,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-10,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-10,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-10,Los Angeles Kings,-1,2018-03-01,nhl,Los Angeles
2018-03-10,Minnesota Wild,-1,2018-03-01,nhl,Minnesota
2018-03-10,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-10,Nashville Predators,-1,2018-03-01,nhl,Nashville
2018-03-10,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-10,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-10,Philadelphia Flyers,1,2018-03-01,nhl,Philadelphia
2018-03-10,Pittsburgh Penguins,-1,2018-03-01,nhl,Pittsburgh
2018-03-10,San Jose Sharks,-1,2018-03-01,nhl,San Jose
2018-03-10,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-10,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-10,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-10,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-10,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-10,Winnipeg Jets,-1,2018-03-01,nhl,Winnipeg
2018-03-11,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-11,Boston Bruins,-1,2018-03-01,nhl,Boston
2018-03-11,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-11,Chicago Blackhawks,1,2018-03-01,nhl,Chicago
2018-03-11,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-11,New York Islanders,1,2018-03-01,nhl,New York
2018-03-11,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-11,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-12,Anaheim Ducks,-1,2018-03-01,nhl,Anaheim
2018-03-12,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-12,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-12,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-12,Florida Panthers,-1,2018-03-01,nhl,Florida
2018-03-12,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-12,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-12,New York Rangers,1,2018-03-01,nhl,New York
2018-03-12,Ottawa Senators,1,2018-03-01,nhl,Ottawa
2018-03-12,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-12,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-12,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-12,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-12,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-12,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-12,Winnipeg Jets,-1,2018-03-01,nhl,Winnipeg
2018-03-13,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-13,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-13,Calgary Flames,1,2018-03-01,nhl,Calgary
2018-03-13,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-13,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-13,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-13,Edmonton Oilers,-1,2018-03-01,nhl,Edmonton
2018-03-13,Los Angeles Kings,-1,2018-03-01,nhl,Los Angeles
2018-03-13,Minnesota Wild,-1,2018-03-01,nhl,Minnesota
2018-03-13,Montreal Canadiens,1,2018-03-01,nhl,Montreal
2018-03-13,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-13,Ottawa Senators,1,2018-03-01,nhl,Ottawa
2018-03-13,Tampa Bay Lightning,-1,2018-03-01,nhl,Tampa Bay
2018-03-13,Winnipeg Jets,-1,2018-03-01,nhl,Winnipeg
2018-03-14,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-14,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-14,Edmonton Oilers,-1,2018-03-01,nhl,Edmonton
2018-03-14,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-14,New York Rangers,1,2018-03-01,nhl,New York
2018-03-14,Pittsburgh Penguins,-1,2018-03-01,nhl,Pittsburgh
2018-03-14,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-14,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-14,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-14,Vegas Golden Knights,-1,2018-03-01,nhl,Vegas
2018-03-15,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-15,Boston Bruins,-1,2018-03-01,nhl,Boston
2018-03-15,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-15,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-15,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-15,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-15,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-15,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-15,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-15,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-15,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-15,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-15,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-15,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-15,St. Louis Blues,-1,2018-03-01,nhl,St. Louis
2018-03-15,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-15,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-15,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-16,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-16,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-16,Colorado Avalanche,-1,2018-03-01,nhl,Colorado
2018-03-16,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-16,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-16,Minnesota Wild,1,2018-03-01,nhl,Minnesota
2018-03-16,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-16,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-16,Ottawa Senators,1,2018-03-01,nhl,Ottawa
2018-03-16,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-16,Vegas Golden Knights,-1,2018-03-01,nhl,Vegas
2018-03-16,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-17,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-17,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-17,Buffalo Sabres,1,2018-03-01,nhl,Buffalo
2018-03-17,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-17,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-17,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-17,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-17,Florida Panthers,-1,2018-03-01,nhl,Florida
2018-03-17,Los Angeles Kings,-1,2018-03-01,nhl,Los Angeles
2018-03-17,Minnesota Wild,1,2018-03-01,nhl,Minnesota
2018-03-17,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-17,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-17,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-17,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-17,Philadelphia Flyers,1,2018-03-01,nhl,Philadelphia
2018-03-17,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-17,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-17,Tampa Bay Lightning,-1,2018-03-01,nhl,Tampa Bay
2018-03-17,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-17,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-18,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-18,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-18,Carolina Hurricanes,1,2018-03-01,nhl,Carolina
2018-03-18,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-18,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-18,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-18,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-18,Edmonton Oilers,-1,2018-03-01,nhl,Edmonton
2018-03-18,New Jersey Devils,-1,2018-03-01,nhl,New Jersey
2018-03-18,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-18,Philadelphia Flyers,1,2018-03-01,nhl,Philadelphia
2018-03-18,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-18,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-18,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-18,Washington Capitals,-1,2018-03-01,nhl,Washington
2018-03-18,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-19,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-19,Boston Bruins,-1,2018-03-01,nhl,Boston
2018-03-19,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-19,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-19,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-19,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-19,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-19,Minnesota Wild,-1,2018-03-01,nhl,Minnesota
2018-03-19,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-19,Nashville Predators,1,2018-03-01,nhl,Nashville
2018-03-20,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-20,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-20,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-20,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-20,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-20,Detroit Red Wings,1,2018-03-01,nhl,Detroit
2018-03-20,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-20,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-20,Los Angeles Kings,-1,2018-03-01,nhl,Los Angeles
2018-03-20,New Jersey Devils,-1,2018-03-01,nhl,New Jersey
2018-03-20,New York Islanders,1,2018-03-01,nhl,New York
2018-03-20,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-20,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-20,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-20,Pittsburgh Penguins,-1,2018-03-01,nhl,Pittsburgh
2018-03-20,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-20,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-20,Toronto Maple Leafs,-1,2018-03-01,nhl,Toronto
2018-03-20,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-20,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-20,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-20,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-21,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-21,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-21,Boston Bruins,-1,2018-03-01,nhl,Boston
2018-03-21,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-21,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-21,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-21,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-21,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-22,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-22,Carolina Hurricanes,1,2018-03-01,nhl,Carolina
2018-03-22,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-22,Colorado Avalanche,-1,2018-03-01,nhl,Colorado
2018-03-22,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-22,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-22,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-22,Florida Panthers,-1,2018-03-01,nhl,Florida
2018-03-22,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-22,Nashville Predators,-1,2018-03-01,nhl,Nashville
2018-03-22,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-22,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-22,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-22,Philadelphia Flyers,1,2018-03-01,nhl,Philadelphia
2018-03-22,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-22,Tampa Bay Lightning,1,2018-03-01,nhl,Tampa Bay
2018-03-22,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-22,Vancouver Canucks,1,2018-03-01,nhl,Vancouver
2018-03-22,Vegas Golden Knights,-1,2018-03-01,nhl,Vegas
2018-03-22,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-23,Anaheim Ducks,-1,2018-03-01,nhl,Anaheim
2018-03-23,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-23,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-23,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-23,Montreal Canadiens,1,2018-03-01,nhl,Montreal
2018-03-23,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-23,Pittsburgh Penguins,-1,2018-03-01,nhl,Pittsburgh
2018-03-23,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-23,Vancouver Canucks,-1,2018-03-01,nhl,Vancouver
2018-03-23,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-24,Arizona Coyotes,-1,2018-03-01,nhl,Arizona
2018-03-24,Buffalo Sabres,-1,2018-03-01,nhl,Buffalo
2018-03-24,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-24,Carolina Hurricanes,1,2018-03-01,nhl,Carolina
2018-03-24,Chicago Blackhawks,1,2018-03-01,nhl,Chicago
2018-03-24,Colorado Avalanche,1,2018-03-01,nhl,Colorado
2018-03-24,Columbus Blue Jackets,-1,2018-03-01,nhl,Columbus
2018-03-24,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-24,Edmonton Oilers,1,2018-03-01,nhl,Edmonton
2018-03-24,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-24,Los Angeles Kings,-1,2018-03-01,nhl,Los Angeles
2018-03-24,Minnesota Wild,1,2018-03-01,nhl,Minnesota
2018-03-24,Montreal Canadiens,-1,2018-03-01,nhl,Montreal
2018-03-24,Nashville Predators,-1,2018-03-01,nhl,Nashville
2018-03-24,New Jersey Devils,1,2018-03-01,nhl,New Jersey
2018-03-24,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-24,New York Rangers,1,2018-03-01,nhl,New York
2018-03-24,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-24,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-24,St. Louis Blues,1,2018-03-01,nhl,St. Louis
2018-03-24,Tampa Bay Lightning,-1,2018-03-01,nhl,Tampa Bay
2018-03-24,Toronto Maple Leafs,1,2018-03-01,nhl,Toronto
2018-03-24,Vegas Golden Knights,-1,2018-03-01,nhl,Vegas
2018-03-24,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-25,Anaheim Ducks,1,2018-03-01,nhl,Anaheim
2018-03-25,Boston Bruins,1,2018-03-01,nhl,Boston
2018-03-25,Dallas Stars,-1,2018-03-01,nhl,Dallas
2018-03-25,Edmonton Oilers,-1,2018-03-01,nhl,Edmonton
2018-03-25,Minnesota Wild,-1,2018-03-01,nhl,Minnesota
2018-03-25,Nashville Predators,-1,2018-03-01,nhl,Nashville
2018-03-25,Philadelphia Flyers,-1,2018-03-01,nhl,Philadelphia
2018-03-25,Pittsburgh Penguins,1,2018-03-01,nhl,Pittsburgh
2018-03-25,Vancouver Canucks,1,2018-03-01,nhl,Vancouver
2018-03-25,Winnipeg Jets,1,2018-03-01,nhl,Winnipeg
2018-03-26,Arizona Coyotes,1,2018-03-01,nhl,Arizona
2018-03-26,Buffalo Sabres,1,2018-03-01,nhl,Buffalo
2018-03-26,Calgary Flames,-1,2018-03-01,nhl,Calgary
2018-03-26,Carolina Hurricanes,1,2018-03-01,nhl,Carolina
2018-03-26,Chicago Blackhawks,-1,2018-03-01,nhl,Chicago
2018-03-26,Colorado Avalanche,-1,2018-03-01,nhl,Colorado
2018-03-26,Detroit Red Wings,-1,2018-03-01,nhl,Detroit
2018-03-26,Florida Panthers,1,2018-03-01,nhl,Florida
2018-03-26,Los Angeles Kings,1,2018-03-01,nhl,Los Angeles
2018-03-26,Montreal Canadiens,1,2018-03-01,nhl,Montreal
2018-03-26,New York Islanders,-1,2018-03-01,nhl,New York
2018-03-26,New York Rangers,-1,2018-03-01,nhl,New York
2018-03-26,Ottawa Senators,-1,2018-03-01,nhl,Ottawa
2018-03-26,San Jose Sharks,1,2018-03-01,nhl,San Jose
2018-03-26,Tampa Bay Lightning,-1,2018-03-01,nhl,Tampa Bay
2018-03-26,Toronto Maple Leafs,-1,2018-03-01,nhl,Toronto
2018-03-26,Vegas Golden Knights,1,2018-03-01,nhl,Vegas
2018-03-26,Washington Capitals,1,2018-03-01,nhl,Washington
2018-03-27,Anaheim Ducks,-1,2018-03-01,nhl,Anaheim
2018-03-27,Boston Bruins,-1,2018-03-01,nhl,Boston
2018-03-27,Carolina Hurricanes,-1,2018-03-01,nhl,Carolina
2018-03-27,Columbus Blue Jackets,1,2018-03-01,nhl,Columbus
2018-03-27,Dallas Stars,1,2018-03-01,nhl,Dallas
2018-03-27,Detroit Red Wings,1,2018-03-01,nhl,Detroit
2018-03-27,Edmonton Oilers,-1,2018-03-01,nhl,Edmonton
2018-03-27,Minnesota Wild,-1,2018-03-01,nhl,Minnesota
2018-03-27,Nashville Predators,1,2018-03-01,nhl,Nashville
